date,chokepoint_id,n_total,weather_stress_score,risk_score_zscore,chokepoint_name,traffic_stress_score,norm_traffic_stress,norm_geopolitical_risk,norm_weather_stress,vulnerability_index,risk_category
2020-03-05,cp_suez,35,0.106896698474884,1.1317611963780745,Suez Canal,1.2687313169018068,0.520666673497991,0.6385671809410277,0.106896698474884,0.4378008585961217,Moderate
2020-03-06,cp_suez,61,0.1437064558267593,1.1718296490007307,Suez Canal,-0.45591137184597524,0.32239301097482914,0.6427627294540537,0.1437064558267593,0.3809164458981368,Moderate
2020-03-07,cp_suez,53,0.1276341825723648,1.1718296490007307,Suez Canal,0.07474791699949615,0.3834002917511867,0.6427627294540537,0.1276341825723648,0.39744731219354357,Moderate
2020-03-08,cp_suez,46,0.116026759147644,0.856925472050841,Suez Canal,0.5390747947392837,0.4367816624304995,0.6097892636756236,0.116026759147644,0.4011078518814363,Moderate
2020-03-09,cp_suez,52,0.2791367769241333,0.5324274402476395,Suez Canal,0.14108032810518006,0.39102620184823134,0.5758112299433705,0.2791367769241333,0.4221341342043006,Moderate
2020-03-10,cp_suez,60,0.2605951428413391,0.375539696175831,Suez Canal,-0.3895789607402913,0.3300189210718738,0.5593835892867333,0.2605951428413391,0.3894694214779142,Moderate
2020-03-11,cp_suez,42,0.2208869159221649,0.6599692753563764,Suez Canal,0.8044044391620193,0.46728530281867825,0.5891660745059605,0.2208869159221649,0.436024056840273,Moderate
2020-03-12,cp_suez,42,0.3116381466388702,0.25702737151727056,Suez Canal,0.8044044391620193,0.46728530281867825,0.5469742204453887,0.3116381466388702,0.44848227713408445,Moderate
2020-03-13,cp_suez,62,0.4207066893577575,-0.1459145323218353,Suez Canal,-0.5222437829516592,0.3147671008777845,0.504782366384817,0.4207066893577575,0.4130543203492377,Moderate
2020-03-14,cp_suez,57,0.268494188785553,-0.06747066028593089,Suez Canal,-0.19058172742323956,0.3528966513630079,0.5129961867131355,0.268494188785553,0.3836107499623161,Moderate
2020-03-15,cp_suez,74,0.105252169072628,-0.06747066028593089,Suez Canal,-1.3182327162198662,0.2232561797132482,0.5129961867131355,0.105252169072628,0.2892639789710227,Moderate
2020-03-16,cp_suez,61,0.0540112927556037,-0.06747066028593089,Suez Canal,-0.45591137184597524,0.32239301097482914,0.5129961867131355,0.0540112927556037,0.30858960701746874,Moderate
2020-03-17,cp_suez,54,0.6469398736953735,-0.06747066028593089,Suez Canal,0.008415505893812222,0.37577438165414195,0.5129961867131355,0.6469398736953735,0.5051516610371591,High
2020-03-18,cp_suez,49,0.6364647746086121,-0.4303441115023805,Suez Canal,0.34007756142223183,0.41390393213936544,0.4749998811655898,0.6364647746086121,0.502055767039318,High
2020-03-19,cp_suez,60,0.585622251033783,-0.4303441115023805,Suez Canal,-0.3895789607402913,0.3300189210718738,0.4749998811655898,0.585622251033783,0.4574432560932471,Moderate
2020-03-20,cp_suez,58,0.3936783969402313,-0.4303441115023805,Suez Canal,-0.2569141385289235,0.3452707412659632,0.4749998811655898,0.3936783969402313,0.4051982369331129,Moderate
2020-03-21,cp_suez,43,0.3050766587257385,-0.4303441115023805,Suez Canal,0.7380720280563354,0.45965939272163353,0.4749998811655898,0.3050766587257385,0.4186537434782497,Moderate
2020-03-22,cp_suez,58,0.1366825401782989,-0.4303441115023805,Suez Canal,-0.2569141385289235,0.3452707412659632,0.4749998811655898,0.1366825401782989,0.3280994799045332,Moderate
2020-03-23,cp_suez,47,0.1633486300706863,-0.4303441115023805,Suez Canal,0.47274238363359966,0.4291557523334548,0.4749998811655898,0.1633486300706863,0.3654590607458715,Moderate
2020-03-24,cp_suez,53,0.0983704403042793,-0.4303441115023805,Suez Canal,0.07474791699949615,0.3834002917511867,0.4749998811655898,0.0983704403042793,0.32995119261215555,Moderate
2020-03-25,cp_suez,56,0.0664966031908989,-0.4303441115023805,Suez Canal,-0.12424931631755562,0.3605225614600526,0.4749998811655898,0.0664966031908989,0.31238183587624446,Moderate
2020-03-26,cp_suez,56,0.1473054885864257,-0.5872318555741893,Suez Canal,-0.12424931631755562,0.3605225614600526,0.45857224050895257,0.1473054885864257,0.3308748272650795,Moderate
2020-03-27,cp_suez,63,0.1574923247098922,-0.18428995173508345,Suez Canal,-0.5885761940573431,0.3071411907807398,0.5007640945695244,0.1574923247098922,0.3300145472855601,Moderate
2020-03-28,cp_suez,50,0.2239320278167724,-0.18428995173508345,Suez Canal,0.2737451503165479,0.4062780220423208,0.5007640945695244,0.2239320278167724,0.38464434915917756,Moderate
2020-03-29,cp_suez,49,0.2157852351665496,-0.18428995173508345,Suez Canal,0.34007756142223183,0.41390393213936544,0.5007640945695244,0.2157852351665496,0.38486937989807635,Moderate
2020-03-30,cp_suez,52,0.1511249542236328,-0.10584607969917906,Suez Canal,0.14108032810518006,0.39102620184823134,0.5089779148978429,0.1511249542236328,0.3603389271282158,Moderate
2020-03-31,cp_suez,55,0.3443290293216705,-0.10584607969917906,Suez Canal,-0.0579169052118717,0.3681484715570973,0.5089779148978429,0.3443290293216705,0.41029294405573025,Moderate
2020-04-01,cp_suez,46,0.4161898791790008,-0.2627338237709878,Suez Canal,0.5390747947392837,0.4367816624304995,0.49255027424120573,0.4161898791790008,0.45012314158879707,Moderate
2020-04-02,cp_suez,54,0.1562684774398803,0.12045602595835785,Suez Canal,0.008415505893812222,0.37577438165414195,0.5326739001615535,0.1562684774398803,0.3648374418674575,Moderate
